language,text,category,number
en,Andrew is a big fan of games.,DailyLife,1
en,Anna has just landed a new job.,DailyLife,2
en,Chloe studies English every day.,DailyLife,3
en,Chloe is currently learning how to cook.,DailyLife,4
en,Daniel studies English every day.,DailyLife,5
en,Daniel is currently preparing for his trip.,DailyLife,6
en,Daniel had his hair cut today.,DailyLife,7
en,Daniel enjoys exercising.,DailyLife,8
en,Daniel is currently traveling with his friend.,DailyLife,9
en,Daniel helped his friend.,DailyLife,10
en,Daniel left the office early.,DailyLife,11
en,David is my closest friend among my friends.,DailyLife,12
en,David just bought a new pair of sneakers.,DailyLife,13
en,David just bought a new computer.,DailyLife,14
en,David worked out with his friend today.,DailyLife,15
en,David was late getting out of the office today.,DailyLife,16
en,David has been learning to play the guitar lately.,DailyLife,17
en,David is really busy with work lately.,DailyLife,18
en,David exercises every day.,DailyLife,19
en,David rides his bike every weekend.,DailyLife,20
en,David meets up with his friends every weekend.,DailyLife,21
en,David is going camping this weekend.,DailyLife,22
en,Ella is currently learning how to cook.,DailyLife,23
en,Ella is a big reader.,DailyLife,24
en,Emily is playing with her cat.,DailyLife,25
en,Emily enjoys drawing.,DailyLife,26
en,Emily participated in a painting exhibition.,DailyLife,27
en,Emily practices yoga every morning.,DailyLife,28
en,Emily took her test today.,DailyLife,29
en,Emily is currently learning how to cook.,DailyLife,30
en,Emily is currently traveling with her friend.,DailyLife,31
en,Emma is working at a new job.,DailyLife,32
en,Emma bought a new book recently.,DailyLife,33
en,Emma made some new friends.,DailyLife,34
en,Emma had a meeting today.,DailyLife,35
en,Emma cooks every weekend.,DailyLife,36
en,Emma watched a movie with her friend.,DailyLife,37
en,Emma had lunch with her friend.,DailyLife,38
en,Ethan is going on a trip tomorrow.,DailyLife,39
en,Ethan practices the guitar every day.,DailyLife,40
en,Ethan has taken on a new project.,DailyLife,41
en,Ethan is on the lookout for a new hobby.,DailyLife,42
en,Ethan seems to be in a good mood today.,DailyLife,43
en,Ethan took his test today.,DailyLife,44
en,Ethan is really into sports.,DailyLife,45
en,Ethan plays basketball every weekend.,DailyLife,46
en,Ethan played soccer with his friend.,DailyLife,47
en,Grace enjoys taking pictures.,DailyLife,48
en,Grace is currently getting ready for her trip.,DailyLife,49
en,Grace is always traveling.,DailyLife,50
en,Grace loves traveling.,DailyLife,51
en,Grace came in early today.,DailyLife,52
en,Grace is currently on the lookout for a new hobby.,DailyLife,53
en,Grace paints every weekend.,DailyLife,54
en,Grace works at a coffee shop.,DailyLife,55
en,Hannah is currently traveling.,DailyLife,56
en,Isabella has been studying English lately.,DailyLife,57
en,Jack didn't come to work today.,DailyLife,58
en,Jacob has two cats.,DailyLife,59
en,Jacob attended the meeting today.,DailyLife,60
en,Jacob has been learning to play the guitar lately.,DailyLife,61
en,Jacob has been keeping busy lately.,DailyLife,62
en,Jacob played basketball with his friend.,DailyLife,63
en,James is a skilled pianist.,DailyLife,64
en,Jessica has a cat.,DailyLife,65
en,Jessica goes jogging every morning.,DailyLife,66
en,Jessica posted some photos from her trip.,DailyLife,67
en,Jessica has been keeping busy lately.,DailyLife,68
en,Jessica is currently working on a new project.,DailyLife,69
en,Jessica has recently taken up a new hobby.,DailyLife,70
en,John has moved into his new house.,DailyLife,71
en,John just bought a new car.,DailyLife,72
en,John has recently started exercising.,DailyLife,73
en,Kevin goes jogging every day.,DailyLife,74
en,Kevin is always smiling.,DailyLife,75
en,Lily is always smiling.,DailyLife,76
en,Lisa posted some photos from her trip.,DailyLife,77
en,Lisa is currently learning how to cook.,DailyLife,78
en,Lisa is an excellent cook.,DailyLife,79
en,Lisa went shopping with her friend.,DailyLife,80
en,Matthew is always very kind.,DailyLife,81
en,Mia takes a morning walk every day.,DailyLife,82
en,Mia is currently drawing.,DailyLife,83
en,Mia went out to meet her friend.,DailyLife,84
en,Michael just bought a new car.,DailyLife,85
en,Michael has just started a new project.,DailyLife,86
en,Michael came down with a cold yesterday.,DailyLife,87
en,Michael watched a movie yesterday.,DailyLife,88
en,Michael started a new project today.,DailyLife,89
en,Michael is currently working out.,DailyLife,90
en,Michael attended his friend's birthday party.,DailyLife,91
en,Michael watched a movie with his friend.,DailyLife,92
en,Michael helped out his friend.,DailyLife,93
en,Noah has been keeping busy lately.,DailyLife,94
en,Olivia is really talented at drawing.,DailyLife,95
en,Olivia is currently getting ready for her trip.,DailyLife,96
en,Olivia came in today after getting a haircut.,DailyLife,97
en,Olivia is currently learning how to cook.,DailyLife,98
en,Olivia is currently on the phone with her friend.,DailyLife,99
en,Olivia went to a cafe with her friend.,DailyLife,100
en,Olivia is on the phone with her friend.,DailyLife,101
en,Olivia had lunch with her friend.,DailyLife,102
en,Rachel enjoys drawing.,DailyLife,103
en,Rachel has been keeping busy lately.,DailyLife,104
en,Rachel is currently studying.,DailyLife,105
en,Ryan is a skilled guitarist.,DailyLife,106
en,Ryan is currently working at his new job.,DailyLife,107
en,Ryan is working at his new job.,DailyLife,108
en,Ryan has just landed a new job.,DailyLife,109
en,Ryan left work early today.,DailyLife,110
en,Ryan has recently become obsessed with working out.,DailyLife,111
en,Ryan got promoted at the company.,DailyLife,112
en,Sarah's birthday is tomorrow.,DailyLife,113
en,Sarah is going on a trip tomorrow.,DailyLife,114
en,Sarah practices the piano every day.,DailyLife,115
en,Sarah has just landed a new job.,DailyLife,116
en,Sarah is currently on vacation.,DailyLife,117
en,Sophia held a painting exhibition.,DailyLife,118
en,Sophia plays the piano every day.,DailyLife,119
en,Sophia is currently making travel plans.,DailyLife,120
en,Sophia seemed to be in a great mood today.,DailyLife,121
en,Sophia seems to be in a great mood today.,DailyLife,122
en,Sophia started a new project today.,DailyLife,123
en,Sophia has a meeting scheduled for today.,DailyLife,124
en,Sophia is really busy lately.,DailyLife,125
en,Sophia is in the middle of cooking dinner.,DailyLife,126
en,Sophia is currently at the cafe.,DailyLife,127
en,Sophia works at a cafe.,DailyLife,128
en,Tom seems to be in a good mood today.,DailyLife,129
en,Tom didn't go to work today.,DailyLife,130
en,Tom has been studying English lately.,DailyLife,131
en,Tom is playing basketball with his friend.,DailyLife,132
en,William just bought a new phone.,DailyLife,133
en,William attended the meeting today.,DailyLife,134
en,William has recently started a new job.,DailyLife,135
en,She lives with her family.,DailyLife,136
en,She took the dog for a walk.,DailyLife,137
en,She has a dog.,DailyLife,138
en,She has two cats.,DailyLife,139
en,She was holding a cat in her arms.,DailyLife,140
en,She gave the cat a hug.,DailyLife,141
en,She's a cat lover.,DailyLife,142
en,She has a cat.,DailyLife,143
en,She studies very hard.,DailyLife,144
en,She's already heard that story.,DailyLife,145
en,She enjoys drawing.,DailyLife,146
en,She's an excellent artist.,DailyLife,147
en,She was worried about me.,DailyLife,148
en,She's waiting for me.,DailyLife,149
en,She helped me out.,DailyLife,150
en,She smiled at me.,DailyLife,151
en,She got me a gift.,DailyLife,152
en,She made a cake for me.,DailyLife,153
en,I think she likes me.,DailyLife,154
en,She invited me over.,DailyLife,155
en,She arrived before me.,DailyLife,156
en,She's more fluent in English than I am.,DailyLife,157
en,She cooks better than I do.,DailyLife,158
en,She got to work before me.,DailyLife,159
en,She messaged me.,DailyLife,160
en,She gave me some advice.,DailyLife,161
en,She got me a cup of coffee.,DailyLife,162
en,She wrote me a letter.,DailyLife,163
en,She was grateful to me.,DailyLife,164
en,She thanked me.,DailyLife,165
en,She texted me.,DailyLife,166
en,She shared a secret with me.,DailyLife,167
en,She gave me a gift.,DailyLife,168
en,She said hello to me.,DailyLife,169
en,She really apologized to me.,DailyLife,170
en,She helped me out with my plan.,DailyLife,171
en,She really gets me.,DailyLife,172
en,She refused my help.,DailyLife,173
en,She misinterpreted what I said.,DailyLife,174
en,She really listens to what I have to say.,DailyLife,175
en,She's coming to my birthday party.,DailyLife,176
en,She remembered my birthday.,DailyLife,177
en,She remembered my birthday.,DailyLife,178
en,She really listened to me seriously.,DailyLife,179
en,She really listened to what I had to say.,DailyLife,180
en,She was sitting right next to me.,DailyLife,181
en,She listened to my story.,DailyLife,182
en,She listened to my story.,DailyLife,183
en,She's one of my friends.,DailyLife,184
en,She's the kindest of all my friends.,DailyLife,185
en,She's become close with my friend.,DailyLife,186
en,She met my friend.,DailyLife,187
en,She likes my friend.,DailyLife,188
en,She invited my friend over.,DailyLife,189
en,She's my friend.,DailyLife,190
en,She smiled at me.,DailyLife,191
en,She gave me a gift.,DailyLife,192
en,She has an interview tomorrow.,DailyLife,193
en,She has a test tomorrow.,DailyLife,194
en,She has a test tomorrow.,DailyLife,195
en,She has a test tomorrow.,DailyLife,196
en,She has a test tomorrow.,DailyLife,197
en,She has a test tomorrow.,DailyLife,198
en,She has a meeting scheduled for tomorrow.,DailyLife,199
en,She's going on a trip tomorrow.,DailyLife,200
en,She needs to wake up early tomorrow.,DailyLife,201
en,She needs to wake up early tomorrow.,DailyLife,202
en,She's not coming to work tomorrow.,DailyLife,203
en,She'll be back to work tomorrow.,DailyLife,204
en,She's planning to meet up with her friend tomorrow.,DailyLife,205
en,She has a job interview at the company tomorrow.,DailyLife,206
en,She sings incredibly well.,DailyLife,207
en,She enjoys watching dramas.,DailyLife,208
en,She goes for a walk every day.,DailyLife,209
en,She wakes up every morning at dawn.,DailyLife,210
en,She runs every morning.,DailyLife,211
en,She drinks coffee every morning.,DailyLife,212
en,She writes in her diary every day.,DailyLife,213
en,She wakes up early every day.,DailyLife,214
en,She drinks coffee every day.,DailyLife,215
en,She just left.,DailyLife,216
en,She just arrived.,DailyLife,217
en,She just got home.,DailyLife,218
en,She enjoys taking pictures.,DailyLife,219
en,She's just started her new job.,DailyLife,220
en,She just bought a new bag.,DailyLife,221
en,She just bought some new clothes.,DailyLife,222
en,She's started a new job.,DailyLife,223
en,She's just landed a new job.,DailyLife,224
en,She's moved into a new house.,DailyLife,225
en,She just bought a new car.,DailyLife,226
en,She's taken up a new hobby.,DailyLife,227
en,She's made some new friends.,DailyLife,228
en,She's currently studying for her exams.,DailyLife,229
en,She helped me out yesterday.,DailyLife,230
en,She went to the library the day before yesterday.,DailyLife,231
en,She cried a lot yesterday.,DailyLife,232
en,She got her hair dyed yesterday.,DailyLife,233
en,She watched a movie yesterday.,DailyLife,234
en,She had a fight with her friend yesterday.,DailyLife,235
en,She met up with her friend yesterday.,DailyLife,236
en,She enjoys traveling.,DailyLife,237
en,She enjoys planning her trips.,DailyLife,238
en,She's made travel plans.,DailyLife,239
en,She frequently posts photos from her travels.,DailyLife,240
en,She's getting ready for her trip.,DailyLife,241
en,She's planning a trip.,DailyLife,242
en,She travels a lot.,DailyLife,243
en,She's a big fan of traveling.,DailyLife,244
en,She's currently studying English.,DailyLife,245
en,She's studying English.,DailyLife,246
en,She's really good at English.,DailyLife,247
en,She enjoys watching movies.,DailyLife,248
en,She really loves movies.,DailyLife,249
en,She seems to be in a bad mood today.,DailyLife,250
en,She seems to be in a good mood today.,DailyLife,251
en,She'll be late tonight.,DailyLife,252
en,She got her hair done today.,DailyLife,253
en,She got a haircut today.,DailyLife,254
en,She attended the meeting today.,DailyLife,255
en,She met a new person today.,DailyLife,256
