SOURCE,TARGET,SCORE
Andrew est un grand fan de jeux.,Andrew adalah penggemar berat permainan.,100
Andrew est un grand fan de jeux.,Andrew adalah penggemar permainan.,50
Andrew est un grand fan de jeux.,Aku sudah menjaga jadwal proyek up to date.,0
Anna vient de décrocher un nouveau job.,Anna baru saja mendapat pekerjaan baru.,100
Anna vient de décrocher un nouveau job.,Anna baru saja mendapat pekerjman pekerjdan biru.,50
Anna vient de décrocher un nouveau job.,Dia belajar sangat keras.,0
Chloé étudie l'anglais tous les jours.,Chloe belajar bahasa Inggris setiap hari.,100
Chloé étudie l'anglais tous les jours.,Chloe setiap hari. bahasa Inggris of belajar sort,50
Chloé étudie l'anglais tous les jours.,Aku akan memperbarui materi pelatihan untuk karyawan baru.,0
Chloé est en train d'apprendre à cuisiner.,Chloe sedang belajar memasak.,100
Chloé est en train d'apprendre à cuisiner.,Chloe sedang in fact belajar memasak.,50
Chloé est en train d'apprendre à cuisiner.,Makananku belum sampai.,0
Daniel étudie l'anglais tous les jours.,Daniel belajar bahasa Inggris setiap hari.,100
Daniel étudie l'anglais tous les jours.,setiap belajar hari. Inggris bahasa Daniel,50
Daniel étudie l'anglais tous les jours.,Michael just bought a new car.,0
Daniel prépare actuellement son voyage.,Daniel sedang mempersiapkan perjalanannya.,100
Daniel prépare actuellement son voyage.,Daniel sedang mempersiapkan perjalanannya,50
Daniel prépare actuellement son voyage.,Aku akan mengirim laporannya malam ini.,0
Daniel s'est fait couper les cheveux aujourd'hui.,Daniel memotong rambutnya hari ini.,100
Daniel s'est fait couper les cheveux aujourd'hui.,"Daniel hari ini, memotong rambutnya",50
Daniel s'est fait couper les cheveux aujourd'hui.,Aku akan pulang sekarang.,0
Daniel aime faire de l'exercice.,Daniel senang berolahraga.,100
Daniel aime faire de l'exercice.,Daoiel senang berolahraga,50
Daniel aime faire de l'exercice.,Dapatkah Anda memecahkan masalah ini?,0
Daniel voyage actuellement avec son ami.,Daniel sedang bepergian dengan temannya.,100
Daniel voyage actuellement avec son ami.,"Daniel sedang bepergian dengan temannya,",50
Daniel voyage actuellement avec son ami.,Aku akan menghubungi pelanggan segera.,0
Daniel a aidé son ami.,Daniel membantu temannya.,100
Daniel a aidé son ami.,Daniel membantu Daniel temannya.,50
Daniel a aidé son ami.,Aku ingin naik kereta bawah tanah.,0
Daniel a quitté le bureau plus tôt.,Daniel meninggalkan kantor lebih awal.,100
Daniel a quitté le bureau plus tôt.,Daniel kantor fact lebih in meninggalkan awal,50
Daniel a quitté le bureau plus tôt.,Dapatkah saya memperpanjang waktu checkout saya?,0
David est mon ami le plus proche parmi mes amis.,David adalah teman terdekatku diantara teman-temanku.,100
David est mon ami le plus proche parmi mes amis.,David adalah teman terdekatku terdekatku diantara teman-temanku.,50
David est mon ami le plus proche parmi mes amis.,Aku akan menangani presentasi tentang pendidikan hari ini.,0
David vient d'acheter une nouvelle paire de baskets.,David baru saja membeli sepasang sepatu baru.,100
David vient d'acheter une nouvelle paire de baskets.,membeli David sepatu baru. baru sepasang,50
David vient d'acheter une nouvelle paire de baskets.,Aku akan meninjau daftar periksa onboarding.,0
David vient d'acheter un nouvel ordinateur.,David baru saja membeli komputer baru.,100
David vient d'acheter un nouvel ordinateur.,"David baru saja membeli komputer baru,",50
David vient d'acheter un nouvel ordinateur.,Kau selalu ada di pikiranku.,0
David a travaillé avec son ami aujourd'hui.,David berolahraga dengan temannya hari ini.,100
David a travaillé avec son ami aujourd'hui.,in dengan hari berolahraga David fact temannya ini,50
David a travaillé avec son ami aujourd'hui.,Dia berpikir untuk memperpanjang masa tinggalnya.,0
David était en retard pour sortir du bureau aujourd'hui.,David terlambat keluar dari kantor hari ini.,100
David était en retard pour sortir du bureau aujourd'hui.,David keluar dari kadtor hari ini.,50
David était en retard pour sortir du bureau aujourd'hui.,Kapan peluncurannya?,0
David a appris à jouer de la guitare dernièrement.,David telah belajar bermain gitar akhir-akhir ini.,100
David a appris à jouer de la guitare dernièrement.,David telah gitar ini.,50
David a appris à jouer de la guitare dernièrement.,Dapatkah saya melampirkan banyak file ke laporan ini?,0
David est très occupé avec le travail dernièrement.,David benar-benar sibuk dengan pekerjaan akhir-akhir ini.,100
David est très occupé avec le travail dernièrement.,David benarkbenar sibuk dengan dengsn pekeejaan akhirkakhir ini.,50
David est très occupé avec le travail dernièrement.,Penerbanganku tertunda.,0
David fait de l'exercice tous les jours.,Daud berolahraga setiap hari.,100
David fait de l'exercice tous les jours.,Daud berolahraga hari. setiap,50
David fait de l'exercice tous les jours.,Dia libur besok.,0
David fait du vélo tous les week-ends.,David naik sepeda setiap akhir pekan.,100
David fait du vélo tous les week-ends.,nxik ajhir pekan. akhir sepeda Dakid setiap,50
David fait du vélo tous les week-ends.,Apakah Anda memiliki rekomendasi menu?,0
David rencontre ses amis tous les week-ends.,David bertemu dengan teman-temannya setiap akhir pekan.,100
David rencontre ses amis tous les week-ends.,maybe bertemu pekan. dengan David akhir teman-temannya setiap,50
David rencontre ses amis tous les week-ends.,Aku melakukannya dengan baik pada ujian.,0
David va camper ce week-end.,David akan berkemah akhir pekan ini.,100
David va camper ce week-end.,akhir peknn akan David berkemah ini,50
David va camper ce week-end.,Bisakah Anda mengirim ulang tautan rapat.,0
Ella est en train d'apprendre à cuisiner.,Ella sedang belajar memasak.,100
Ella est en train d'apprendre à cuisiner.,Ella actually sedang belajar memasak,50
Ella est en train d'apprendre à cuisiner.,Apa kau ada waktu besok sore?,0
Ella est une grande lectrice.,Ella adalah pembaca besar.,100
Ella est une grande lectrice.,Ella besar. adalah,50
Ella est une grande lectrice.,Tim kami bertemu setiap Rabu pukul 4 sore.,0
Emily joue avec son chat.,Emily bermain dengan kucingnya.,100
